Order Review,順番レビュー,,,,
Order Status,注文状況,,,,
Order Total,注文合計,,,,
Ordered: High to Low,販売量：高いから安いまで,,,,
Ordered: Low to High,販売量：安いから高いまで,,,,
Ordering,発注,,,,
Origin,原産地,,,,
Out of Stock,在庫切れ,,,,
Page,ページ,,,,
Page Not Found,ページが見つかりません,,,,
Password,パスワード,,,,
Paying,支払い,,,,
Payment & Shipping,配送&お支払いについて,,,,
Payment Method,支払方法,,,,
Pending,ペンディング,,,,
Place Order,注文する,,,,
Please make sure your passwords match.,パスワードの確認欄は同じパスワードを再入力してください。,,,,
Please Select,選択してください,,,,
Please select country,国名を選択してください,,,,
Please select region, state or province,地域、州または都道府県を選択してください,,,
Please specify the product's required option(s).,製品の必要なオプションを指定してください。,,,,
Poor,貧しい,,,,
Popular Search,人気の検索,,,,
Previous,前,,,,
Price,価格,,,,
Price: High to Low,価格： 高から低まで,,,,
Price: Low to High,価格： 低から高まで,,,,
Privacy & Security,プライバシーとセキュリティ,,,,
Proceed to Checkout,チェックアウトのに進む,,,,
Processing,処理,,,,
Product Name,商品名,,,,
Product Reviews,製品レビュー,,,,
Products,商品,,,,
Products Sitemap,製品サイトマップ,,,,
Qty,数量,,,,
Quick Overview,クイック概要,,,,
Rating,グレード,,,,
Recent Orders,最近の注文状況,,,,
Recent Viewed,最近のアクセス,,,,
Registered Customers,登録ユーザー,,,,
Regular,定期,,,,
Regular Price,定価,,,,
Related,関連した,,,,
Remove item,項目を削除する,,,,
Remove This Item,商品の削除,,,,
Required Fields,必須フィールド,,,,
Reset,リセット,,,,
Returns Policy,返品規則,,,,
Review,レビュー,,,,
Reviews,レビュー,,,,
Save,セーブ,,,,
Save in address book,アドレス帳に保存,,,,
Save Off,割引,,,,
Search,検索,,,,
Search entire store here...,ここでストア全体を検索...,,,,
"Search results for: ""%s""","検索結果： ""%s""",,,,
Select a billing address from your address book or enter a new address.,あなたのアドレス帳から請求先住所を選択するか、新しいアドレスを入力します。,,,,
Select a shipping address from your address book or enter a new address.,あなたのアドレス帳からお届け先住所を選択するか、新しいアドレスを入力します。,,,,
Select Your Currency,通貨を選択してください,,,,
Series,シリーズ,,,,
Ship To,配送先,,,,
Ship to different address,別のアドレスに送信された,,,,
Ship to this address,この住所にだけ出荷,,,,
Shipping & Delivery,出荷と配送,,,,
Shipping & Handling,配送と取り扱い,,,,
Shipping Address,配送先住所,,,,
Shipping Information,配送情報,,,,
Shipping Method,配送方法,,,,
Shop By,別ショップ,,,,
Shop With Confidence & Satisfaction Guaranteed,信頼＆満足保証を持ってショップ,,,,
Shopping Cart,ショッピングカート,,,,
Shopping cart have been updated success.,ショッピングカートは、成功を更新されています。,,,,
Shopping Cart is Empty, カートは空です,,,,
Shopping on %s is safe and secure - guaranteed! %s cares about your complete satisfaction. We offer a comprehensive return policy on all items, allowing you to shop with confidence.,保証 - %sでのショッピングは、安全·安心です%sはあなたの完全な満足気。私たちは、あなたが自信を持って買い物をすることができ、すべての項目の包括的な返品ポリシーを提供します。,,,
Shopping Options,ショッピングオプション,,,,
Show,見せる,,,,
Sign Up for Newsletter,ニュースレターのお申込み,,,,
Site Map,サイトマップ,,,,
Size,サイズ,,,,
Size Chart,サイズチャート,,,,
Sort By,並べ替え,,,,
Spec,スペック,,,,
Special Price,特別価格,,,,
Specials,スペシャル,,,,
State/Province,都道府県,,,,
Status,ステータス,,,,
Store Home,ストアホーム,,,,
Street Address,所在地住所,,,,
Submit,提出する,,,,
Submit Review,レビュー送信,,,,
Subtotal,小計,,,,
Success,成功,,,,
Telephone,電話,,,,
Thank you for registering with Our Store.,私達の店に登録していただきありがとうございます。,,,,
The account information has been saved.,アカウント情報が保存されました。,,,,
The address has been saved.,アドレスが保存されました。,,,,
The minimum password length is 6.,パスワードは最小の長さは6です,,,,
The page you requested was not found, and we have a fine guess why.,このページには、あなたの要求を表示することができない、私たちは問題をよく見ます。,,,
The review has been saved.,レビューが保存されました。,,,,
The subscription has been saved.,サブスクリプションは保存されました。,,,,
There are currently no news.,ないニュースはありません。,,,,
There are no products matching the selection.,選択に一致する商品はありません。,,,,
There are no sitemap matching the selection.,選択に一致するマップはありません。,,,,
"There is <a href=""%s"">%s item(s)</a> in your cart.","あり <a href=""%s"">%s アイテム(s)</a> あなたのカートインチ。",,,,
There is already an account with this email address.,このメールアドレスでアカウントがすでに存在しています。,,,,
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","このメールアドレスでアカウントがすでに存在しています。あなたはそれがあなたのメールアドレスであることが確実な場合、<a href=""%s"">ここをクリック</a> あなたのパスワードを取得しとかアカウントにアクセスします。",,,,
There was a security error.,セキュリティエラーが発生しました。,,,,
This good was added to your shopping cart.,選択した商品をカートに入れました。,,,,
Unit Price,金額,,,,
Update Shopping Cart,ショッピングカートを更新する,,,,
Use as My Default Billing Address,マイデフォルト請求先住所として使用,,,,
Use as My Default Shipping Address,デフォルトの配送先住所として使用,,,,
Use the search bar at the top of the page to search for your products.,あなたの商品を検索するには、ページの上部にある検索バーを使用します。,,,,
View All,すべてを表示,,,,
View as,として表示,,,,
View Order,オーダーを表示,,,,
Viewed: High to Low,閲覧中：高いから低まで,,,,
Viewed: Low to High,閲覧中：低から高まで,,,,
What can you do?,あなたは何ができますか？,,,,
With a wide variety of payment options, %s offers convenience to customers worldwide. Purchasing options include major credit cards, debit cards, wire transfer, Western Union.,支払いオプションの多種多様な、%sは、世界中の顧客に利便性を提供しています購入オプションは、主要なクレジットカード、デビットカード、電信送金、ウェスタンユニオンを含む。
Write Your Own Review,あなたのコメントを投稿する,,,,
Year,年,,,,
You are currently not subscribed to any newsletter.,ニュースレターを購読していません。,,,,
You are currently subscribed.,ニュースレターを購読している。,,,,
You are now logged out,これでログアウトしています,,,,
You have logged out and will be redirected to our homepage in 5 seconds.,あなたがログアウトしていると5秒後に当社のホームページにリダイレクトされます。,,,,
You have no additional address entries in your address book.,あなたのアドレス帳に追加のアドレスエントリがありません。,,,,
You have no items in your shopping cart.,ショッピングカートに商品はありません。,,,,
You have placed no orders.,注文ありません。,,,,
You have submitted no reviews.,あなたがレビューを提出していない。,,,,
You may also be interested in the following product(s),以下の商品にご興味はありません,,,,
You must have JavaScript enabled in your browser to utilize the functionality of this website.,あなたはJavaScriptを有効にすると、このサイトの機能を利用するには、ブラウザで有効にする必要があります。,,,,
You will be redirected to Credit Card in a few seconds.,あなたは数秒でクレジットカードにリダイレクトされます。,,,,
You will be redirected to Paypal in a few seconds.,あなたは数秒でペイパルにリダイレクトされます。,,,,
Zip/Postal Code,郵便番号,,,,
Regular,レギュラー,,,,
All Category,すべてのカテゴリ,,,,
Payment Methods,お支払い方法,,,,
Help,役立つ,,,,
Currency,通貨,,,,
My Cart (<span>%s</span>) Items,カート(<span>%s</span>)いくら商品,,,,
My Cart <span>%s</span> Items,カート<span>%s</span>いくら商品,,,,
My Cart <span>%s</span>,カート<span>%s</span>,,,,
My Cart <span>%s Items</span>,カート<span>%sいくら商品</span>,,,,
Checkout Process,チェックアウトプロセス,,,,
By <span>%s</span>,バイ<span>%s</span>,,,,
Write a review,レビューを書く,,,,
Model,モデル,,,,
Insurance Fee,保険料,,,,
Credit Card Payment,クレジットカードでのお支払い,,,,
Order Number,請求番号,,,,
Amount,金額,,,,
Card Type,カード,,,,
Card Number,カード番号,,,,
Expiry Date,有効期限,,,,
CVC/CVV2,CVC/CVV2,,,,
Processing, please wait …,処理しています。お待ちください...,,,
"Processing, please wait ...",処理しています。お待ちください...,,,,
Lowest Price,最低価格,,,,
Highest Price,最高価格,,,,
Highest Viewed,最も見られた,,,,
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",私たちの店を持つアカウントを作成することにより、あなたは、より高速なチェックアウトプロセスを移動する複数の配送先住所、ビューを保存し、自分のアカウントとよりでご注文を追跡することができるようになります。,,,,
"If you have an account with us, please log in.",あなたが私たちのアカウントを持っている場合は、ログインしてください。 ,,,,
Credit Card Payment,カード払い,,,,
Order Info,注文情報,,,,
Order Number,注文番号,,,,
Order Amount,注文金額,,,,
Card Number,カード番号,,,,
Expiration,有効期限,,,,
Month,月,,,,
Pay,支払う,,,,
Notes,ノート,,,,
"You are now connected to a secure payment site with certificate issued by VeriSign, Your payment details will be securely transmitted to the Bank for transaction authorization in full accordance with PCI standards.",VeriSignによって発行された証明書付きの安全な支払いサイトに接続されました。お支払い情報は、PCI規格に準拠した取引承認のために銀行に安全に送信されます。,,,,
