Contact Information,Kontakt Info
Contact Us,Kontakt os
Continue Shopping,Fortsæt Indkøb
Convenient & Friendly Customer Service,Bekvem & Venlig Kundeservice
Country,Land
Coupon (<span>%s</span>),Kuponkode (<span>%s</span>)
"Coupon code ""%s"" is not valid.","Kupon koden ""%s"" er ikke gyldig"
"Coupon code ""%s"" was applied.","Kupon kode ""%s"" blev anvendt."
Coupon code was canceled.,Kuponkode blev annulleret.
Coupon Codes,kuponkoder
Create Account,Registrer Konto
Create an Account,Registrer en Ny Konto
Create New Customer Account,Registrer en Ny Konto
Current Password,Nuværende kodeord
Currently Shopping by,I øjeblikket Shopping ved
Customer Login,kunde Log på
Customer Reviews,kunde anmeldelser
Customer Service,Kundeservice
Date,Dato
Date Added: New to Old,dato tilføjet: Ny til gammel
Date Added: Old to New,dato tilføjet: Gammel til Ny
Default,standard
Default Addresses,standard adresse
Default Billing Address,standard Faktureringsadresse
Default Shipping Address,standard Leveringsadresse
Delete Address,Slet adresse
Delivery,Leverings
Description,Beskrivelser
Details,detaljer
Discount,rabat
Easy & Safe Online Shopping,Enkel & Sikker Internet Shopping
Edit,Redigér
Edit Address,Redigér Adresse
Email Address,Email Adresse
Enter your coupon code if you have one.,"Indtast din kupon kode, hvis du har en."
"Every %s product undergoes an extensive testing and quality control procedure, ensuring each and every item purchased meets global quality standards. %s offers only the highest quality products, allowing customers to shop with confidence.","Hver %s vare gennemgår en omfattende test- og kvalitetskontrol procedure, som sikrer at hver eneste vare som købes opfylder globale kvalitetsstandarder. LightInTheBox.com tilbyder kun varer af højeste kvalitet så kundene trygt kan foretage indkøb."
Failure,Manglende
Faq,FAQ
Fast Delivery Around The Globe,Hurtig Levering Jorden Rundt
Fax,Fax
Featured,Udvalgte
Finish,Finish
First Name,Fornavn
Follow these links to get you back on track!,Følg disse links for at få dig tilbage på sporet!
Forgot Your Password?,Glemt dit kodeord?
From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.,Fra din Min konto Dashboard du har evnen til at se et øjebliksbillede af din seneste kontoaktivitet og opdatere dine kontooplysninger. Vælg et link nedenfor for at se eller redigere oplysninger.
Gender,Køn
General Subscription,Generelt Abonnement
Good,God
Gorgeous,Glimrende
Grand Total,Pris i alt
Grid,Galleri
"Have no fear, help is near! There are many ways you can get back on track with Our Store.","Har ingen frygt, er hjælpen nær! Der er mange måder, du kan komme tilbage på sporet med vores butik."
"Hello, %s!","Hej, %s!"
High Quality With Global Standards,Høj Kvalitet med Globale Standarder
Home,Startside
"If you clicked on a link to get here, the link is outdated.","Hvis du har klikket på et link for at komme her, linket er forældet."
"If you have an account with us, please log in.","Jeg er allerede kunde, jeg logger ind"
"If you typed the URL directly, please make sure the spelling is correct.","Hvis du har indtastet URL'en direkte, skal du sørge for at stavningen er korrekt."
In stock,På-Lager
Information,Info
Invalid login or password., Der er intet resultat på denne e-mailadresse og/eller adgangskode.
Item(s),Vare(r)
Items <span>%s</span> to <span>%s</span> of <span>%s</span> total,Varer <span>%s</span> til <span>%s</span> af <span>%s</span> i alt
JavaScript seem to be disabled in your browser.,Lader til at JavaScript er deaktiveret i din browser.
Last Name,Efternavn
List,Liste
Log In,Log på
Log Out,Log af
Login,Log på
Login or Create an Account,Log Ind eller Registrer
Manage Addresses,Administrer Adresse
Material,materiale
More Views,Se mere
My Account,Min Konto
My Cart,Indkøbskurv
My Cart (<span>%s</span> Items),Indkøbskurv (<span>%s</span> Varer)
My Dashboard,Min Konto
My Orders,Mine Ordrer
My Product Reviews,Produkter Anmeldelser
My Recent Reviews,Nylige Anmeldelser
Name,Navn
Name: A to Z,navn: A til Z
Name: Z to A,navn: Z til A
New Address,ny adresse
New Arrivals,Nyankomne
New Customers,ny kunde
New Password,Nyt kodeord
New Products,nye produkter
News,Nyheder
Newsletter Subscriptions,Abonner på vores newsletter
Newsletters,Nyhedsbreve
Next,Næste
Nickname,Navn
Not Available At This Time,Ikke tilgængelig på dette tidspunkt
Num,ANTAL
Order #,Ordrer #
Order #%s - %s,Ordrer #%s - %s
Order Date,Ordrer Dato
Order Information,Ordrer Info
Order Items,Ordrer varer
Order Review,Ordrer anmeldelse
Order Status,Ordrer Status
Order Total,Ordrer i alt
Ordered: High to Low,bestilt: Høj til lav
Ordered: Low to High,bestilt: Lav til høj
Ordering,bestilling
Origin,Origin
Out of Stock,Udsolgt
Page,Side
Page Not Found,Siden er ikke fundet.
Password,kodeord
Paying,betalende
Payment & Shipping,Betaling & Fragt
Payment Method,Betalingsmetoder
Pending,Afventer
Place Order,Godkend bestilling
Please make sure your passwords match.,Sørg dine adgangskoder matcher.
Please Select,Vælg venligst
Please select country,Vælg venligst Land
"Please select region, state or province","Vælg venligst Stat, Provins og Region"
Please specify the product's required option(s).,Angiv venligst produktets ønskede funktion.
Poor,Rimelig
Popular Search,Populære Søgninger
Previous,foregående
Price,Pris
Price: High to Low,Pris: Høj til lav
Price: Low to High,Pris: Lav til høj
Privacy & Security,Fortrolighedspolitik
Proceed to Checkout,Gå til Kassen
Processing,forarbejdning
Product Name,Produkt Navn
Product Reviews,Produkter Anmeldelser
Products,Produkter
Products Sitemap,Produkter sitemap
Qty,Antal
Quick Overview,hurtigt overblik
Rating,Rating
Recent Orders,Nylige Orders
Recent Viewed,Nylige Se
Registered Customers,registrerede kunder
Regular,Gennemsnitlig
Regular Price,Normal pris
Related,Relateret
Remove item,Fjern vare
Remove This Item,Fjern vare
Required Fields,påkrævede felter
Reset,Nulstil
Returns Policy,Retningslinjer for Retur
Review,Anmeldelse
Reviews,Anmeldelser
Save,Gem
Save in address book,Gem i adressebog
Save Off,Sparer
Search,Søg
Search entire store here...,Søg på en vare ...
"Search results for: ""%s""","Du har søgt efter: ""%s"""
Select a billing address from your address book or enter a new address.,Vælg en faktureringsadresse fra din adressebog eller indtaste en ny adresse.
Select a shipping address from your address book or enter a new address.,Vælg en leveringsadresse fra din adressebog eller indtaste en ny adresse.
Select Your Currency,Vælg valuta
Series,Series
Ship To,skib Til
Ship to different address,Skib til anden adresse
Ship to this address,Skib til denne adresse
Shipping & Delivery,Forsendelse og levering
Shipping & Handling,Forsendelse & håndtering
Shipping Address,Leveringsadresse
Shipping Information,Fragt info
Shipping Method,Fragt Guide
Shop By,Køb efter
Shop With Confidence & Satisfaction Guaranteed,Shop med tillid & Satisfaction Guaranteed
Shopping Cart,Indkøbskurv
Shopping cart have been updated success.,Indkøbskurv er blevet opdateret succes.
Shopping Cart is Empty,Indkøbskurv er tom.
"Shopping on %s is safe and secure - guaranteed! %s cares about your complete satisfaction. We offer a comprehensive return policy on all items, allowing you to shop with confidence.",Indkøb hos %s er trygt og sikkert - det garanterer vi! %s er opmærksom på din fulde tilfredshed. Vi tilbyder en omfattende returret på alle varer så du kan handle trygt.
Shopping Options,Shopping Options
Show,Show
Sign Up for Newsletter,Registrer til nyhedsbrev
Site Map,Site Map
Size,Størrelses
Size Chart,Størrelses Tabel
Sort By,Sorter efter
Spec,Spec
Special Price,Specialpris
Specials,Specials
State/Province,State/Province
Status,Status
Store Home,Startside
Street Address,adresse
Submit,Indsend
Submit Review,Indsend anmeldelse
Subtotal,Subtotal
Success,Success
Telephone,Telefonnummer
Thank you for registering with Our Store.,Tak for din registrering med vores butik.
The account information has been saved.,Konto Oplysningerne er gemt.
The address has been saved.,Adressen er gemt.
The minimum password length is 6.,Den mindste kodeord længde er 6.
"The page you requested was not found, and we have a fine guess why.","Den ønskede side blev ikke fundet, og vi har et fint gæt hvorfor."
The review has been saved.,Gennemgangen er gemt.
The subscription has been saved.,Abonnementet er gemt.
There are currently no news.,Der er i øjeblikket ingen nyheder.
There are no products matching the selection.,"Der er ingen produkter, som matcher valget."
There are no sitemap matching the selection.,Der er ingen sitemap matcher valget.
"There is <a href=""%s"">%s item(s)</a> in your cart.","Der er <a href=""%s"">%s vare(r)</a> i din indkøbskurv."
There is already an account with this email address.,Der er allerede en konto med denne e-mail-adresse.
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Der er allerede en konto med denne e-mail-adresse. Hvis du er sikker på, at det er din e-mail-adresse, <a href=""%s"">skal du klikke her</a> for at få dit password og få adgang til din konto."
There was a security error.,Der var en sikkerhedsfejl.
This good was added to your shopping cart.,Dette gode er tilføjet til din indkøbskurv.
Unit Price,enhedspris
Update Shopping Cart,Opdater indkøbskurv
Use as My Default Billing Address,Bruge som min standard Faktureringsadresse
Use as My Default Shipping Address,Bruge som min standard leveringsadresse
Use the search bar at the top of the page to search for your products.,Brug søgefeltet øverst på siden for at søge efter dine produkter.
View All,Se alle
View as,Vis som
View Order,Vis ordre
Viewed: High to Low,Vist: høj til lav
Viewed: Low to High,Vist: Lav til høj
What can you do?,Hvad kan du gøre?
"With a wide variety of payment options, %s offers convenience to customers worldwide. Purchasing options include major credit cards, debit cards, wire transfer, Western Union.","Med et bredt udvalg af betalingsmetoder tilbyder %s bekvemmelighed til kunder over hele verden. Alternative betalingsmetoder omfatter kreditkort, bankkort, bankoverførsel, Western Union."
Write Your Own Review,Skriv en anmeldelse af denne vare
Year,år
You are currently not subscribed to any newsletter.,Du er i øjeblikket ikke tilmeldt nogen nyhedsbrev.
You are currently subscribed.,Du er i øjeblikket abonnerer.
You are now logged out,Du er nu logget ud.
You have logged out and will be redirected to our homepage in 5 seconds.,Du har logget ud og vil blive omdirigeret til vores hjemmeside i 5 sekunder.
You have no additional address entries in your address book.,Du har ingen yderligere adresser poster i din adressebog.
You have no items in your shopping cart.,Du har ingen varer i indkøbskurven.
You have placed no orders.,Du har placeret nogen ordrer.
You have submitted no reviews.,Du har indsendt ingen anmeldelser.
You may also be interested in the following product(s),Du kan også være interesseret i disse produkt(er)
You must have JavaScript enabled in your browser to utilize the functionality of this website.,Du skal have JavaScript slået til i din browser for at kunne bruge alle funktionerne på dette website.
You will be redirected to Credit Card in a few seconds.,Du vil blive omdirigeret til kreditkort i et par sekunder.
You will be redirected to Paypal in a few seconds.,Du vil blive omdirigeret til Paypal i et par sekunder.
Zip/Postal Code,ZIP / Postnummer
Regular,Gennemsnitlig
All Category,Alle Varegrupper
Payment Methods,betalings metode
Help,Hjælp
Currency,Valuta
My Cart (<span>%s</span>) Items,Indkøbskurv (<span>%s</span>) Varer
My Cart <span>%s</span> Items,Indkøbskurv <span>%s</span> Varer
My Cart <span>%s</span>,Indkøbskurv <span>%s</span>
My Cart <span>%s Items</span>,Indkøbskurv <span>%s Varer</span>
Checkout Process,Til kassen
By <span>%s</span>,Efter <span>%s</span>
Write a review,Skriv en anmeldelse
Model,Model
Order Info,Ordreoplysninger
Order Number,Ordrenummer
Order Amount,Ordrebeløb
Card Number,Kortnummer
Expiration,Udløb
Month,Måned
Year,År
Pay,Betale
Notes,Noter
"You are now connected to a secure payment site with certificate issued by VeriSign, Your payment details will be securely transmitted to the Bank for transaction authorization in full accordance with PCI standards.",Du er nu forbundet til et sikkert betalingssted med certifikat udstedt af VeriSign. Dine betalingsoplysninger vil blive overført sikkert til Banken for transaktionsgodkendelse i fuld overensstemmelse med PCI-standarder.
Credit Card Payment,Kreditkortbetaling
